,FIP,Year,population
1044,21067,2010,296847
1045,21069,2010,14400
1046,21071,2010,39931
1047,21073,2010,49266
1048,21075,2010,6806
1049,21077,2010,8613
1050,21079,2010,16942
1051,21081,2010,24680
1052,21083,2010,37240
1053,21085,2010,25789
1054,21087,2010,11247
1055,21089,2010,36880
1056,21091,2010,8551
1057,21093,2010,106956
1058,21095,2010,29219
1059,21097,2010,18803
1060,21099,2010,18184
1061,21101,2010,46260
1062,21103,2010,15377
1063,21105,2010,4859
1064,21107,2010,46840
1065,21109,2010,13480
1066,21111,2010,742050
1067,21113,2010,48685
1068,21115,2010,23385
1069,21117,2010,159954
1070,21119,2010,16363
1071,21121,2010,31851
1072,21123,2010,14177
1073,21125,2010,58996
1074,21127,2010,15866
1075,21129,2010,7718
1076,21131,2010,11278
1077,21133,2010,24534
1078,21135,2010,13836
1079,21137,2010,24721
1080,21139,2010,9520
1081,21141,2010,26852
1082,21143,2010,8331
1083,21145,2010,65540
1084,21147,2010,18329
1085,21149,2010,9515
1086,21151,2010,83469
1087,21153,2010,13308
1088,21155,2010,19830
1089,21157,2010,31451
1090,21159,2010,12913
1091,21161,2010,17505
1092,21163,2010,28714
1093,21165,2010,6366
1094,21167,2010,21313
1095,21169,2010,10137
1096,21171,2010,10970
1097,21173,2010,26551
1098,21175,2010,13729
1099,21177,2010,31658
1100,21179,2010,43631
1101,21181,2010,7128
1102,21183,2010,23834
1103,21185,2010,60435
1104,21187,2010,10850
1105,21189,2010,4748
1106,21191,2010,14916
1107,21193,2010,28661
1108,21195,2010,65075
1109,21197,2010,12644
1110,21199,2010,63190
1111,21201,2010,2275
1112,21203,2010,17081
1113,21205,2010,23374
1114,21207,2010,17574
1115,21209,2010,47280
1116,21211,2010,42267
1117,21213,2010,17339
1118,21215,2010,17121
1119,21217,2010,24664
1120,21219,2010,12432
1121,21221,2010,14324
1122,21223,2010,8812
1123,21225,2010,15278
1124,21227,2010,114325
1125,21229,2010,11699
1126,21231,2010,20848
1127,21233,2010,13579
1128,21235,2010,35718
1129,21237,2010,7363
1130,21239,2010,25033
1131,22000,2010,4544532
1132,22001,2010,61875
1133,22003,2010,25718
1134,22005,2010,107886
1135,22007,2010,23333
1136,22009,2010,42106
1137,22011,2010,35834
1138,22013,2010,14308
1139,22015,2010,117669
1140,22017,2010,255599
1141,22019,2010,193027
1142,22021,2010,10153
1143,22023,2010,6916
1144,22025,2010,10378
1145,22027,2010,17175
1146,22029,2010,20840
1147,22031,2010,26669
1148,22033,2010,440559
1149,22035,2010,7737
1150,22037,2010,20172
1151,22039,2010,33958
1152,22041,2010,20810
1153,22043,2010,22335
1154,22045,2010,73122
1155,22047,2010,33390
1156,22049,2010,16307
1157,22051,2010,432608
1158,22053,2010,31633
1159,22055,2010,222264
1160,22057,2010,96764
1161,22059,2010,14908
1162,22061,2010,46849
1163,22063,2010,128679
1164,22065,2010,12105
1165,22067,2010,27872
1166,22069,2010,39527
1167,22071,2010,347770
1168,22073,2010,153967
1169,22075,2010,23122
1170,22077,2010,22818
1171,22079,2010,131757
1172,22081,2010,9099
1173,22083,2010,20759
1174,22085,2010,24233
1175,22087,2010,36824
1176,22089,2010,52817
1177,22091,2010,11199
1178,22093,2010,22048
1179,22095,2010,45594
1180,22097,2010,83489
1181,22099,2010,52261
1182,22101,2010,54557
1183,22103,2010,234537
1184,22105,2010,121482
1185,22107,2010,5231
1186,22109,2010,111482
1187,22111,2010,22832
1188,22113,2010,58098
1189,22115,2010,52714
1190,22117,2010,47088
1191,22119,2010,41196
1192,22121,2010,23954
1193,22123,2010,11576
1194,22125,2010,15641
1195,22127,2010,15302
1196,23000,2010,1327632
1197,23001,2010,107707
1198,23003,2010,71701
1199,23005,2010,281458
1200,23007,2010,30720
1201,23009,2010,54348
1202,23011,2010,122076
1203,23013,2010,39731
1204,23015,2010,34389
1205,23017,2010,57779
1206,23019,2010,153860
1207,23021,2010,17550
1208,23023,2010,35230
1209,23025,2010,52219
1210,23027,2010,38820
1211,23029,2010,32828
1212,23031,2010,197216
1213,24000,2010,5788642
1214,24001,2010,74966
1215,24003,2010,539277
1216,24005,2010,806560
1217,24009,2010,88988
1218,24011,2010,33054
1219,24013,2010,167212
1220,24015,2010,101167
1221,24017,2010,147156
1222,24019,2010,32688
1223,24021,2010,234204
1224,24023,2010,30141
1225,24025,2010,245235
1226,24027,2010,288628
1227,24029,2010,20212
1228,24031,2010,976287
1229,24033,2010,865747
1230,24035,2010,47809
1231,24037,2010,105762
1232,24039,2010,26464
1233,24041,2010,37874
1234,24043,2010,147734
1235,24045,2010,98971
1236,24047,2010,51501
1237,24510,2010,621005
1238,25000,2010,6566431
1239,25001,2010,215893
1240,25003,2010,131319
1241,25005,2010,549177
1242,25007,2010,16572
1243,25009,2010,745479
